id,score,overall_length,distinct_words_count,theme_gender_count,theme_gender_bool,theme_ethnicity_count,theme_ethnicity_bool,theme_sexuality_count,theme_sexuality_bool,theme_ability_count,theme_ability_bool,theme_age_count,theme_age_bool,theme_weight_count,theme_weight_bool,theme_appearance_count,theme_appearance_bool,theme_class_count,theme_class_bool,themes_found
2bbv2d,0.0,13,9,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbr0t,3.0,19,13,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbqmy,5.0,182,65,0,False,0,False,1,True,0,False,0,False,0,False,1,True,1,True,"[('sexuality', 1), ('appearance', 1), ('class', 1)]"
2bbns7,0.0,31,13,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,"[('class', 1)]"
2bbnov,308.0,16,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bblmx,2.0,244,74,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,"[('sexuality', 1), ('class', 1)]"
2bbjnm,0.0,17,9,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbib1,495.0,95,34,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbhfg,0.0,63,17,0,False,0,False,0,False,0,False,0,False,0,False,5,True,1,True,"[('appearance', 5), ('class', 1)]"
2bbgv4,0.0,27,12,0,False,0,False,2,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 2)]"
2bbfzp,143.0,12,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbfj6,0.0,10,4,0,False,0,False,0,False,0,False,2,True,0,False,0,False,0,False,"[('age', 2)]"
2bbexr,75.0,52,19,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbeq2,59.0,129,45,2,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 2), ('sexuality', 1)]"
2bbdam,11.0,49,24,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 2)]"
2bbcf3,199.0,152,47,10,True,0,False,0,False,3,True,0,False,0,False,0,False,0,False,"[('gender', 10), ('ability', 3)]"
2bbc5n,6.0,14,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbbes,0.0,180,71,4,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 4), ('ethnicity', 1), ('sexuality', 1)]"
2bbah9,0.0,19,7,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bb6lf,0.0,284,67,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,"[('sexuality', 1), ('class', 1)]"
2bb5rz,16.0,11,3,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bb497,0.0,10,4,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
